,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,lead,phase2,phase3,closed
0,0,0,0,0,0,0,0,0,0,3,2015-06-19,2015-07-30,2015-08-11,2015-08-11
1,1,1,1,1,1,1,1,1,1,4,2015-06-20,2015-07-20,2015-07-20,2015-07-20
2,2,2,2,2,2,2,2,2,2,5,2015-06-21,,,
3,3,3,3,3,3,3,3,3,3,6,2015-06-22,2015-06-30,2015-07-13,2015-07-13
4,4,4,4,4,4,4,4,4,4,7,2015-06-23,,,
5,5,5,5,5,5,5,5,5,5,8,2015-06-24,2015-08-11,2015-08-25,2015-08-25
6,6,6,6,6,6,6,6,6,6,9,2015-06-25,2015-08-03,2015-08-08,2015-08-31
7,7,7,7,7,7,7,7,7,7,10,2015-06-26,2015-07-30,2015-07-30,2015-07-30
8,8,8,8,8,8,8,8,8,8,11,2015-06-27,2015-08-27,2015-08-27,2015-08-27
9,9,9,9,9,9,9,9,9,9,12,2015-06-28,2015-08-16,2015-08-16,2015-08-16
10,10,10,10,10,10,10,10,10,10,13,2015-06-29,2015-08-02,2015-08-03,2015-08-17
11,11,11,11,11,11,11,11,11,11,14,2015-06-30,2015-08-09,2015-08-09,2015-08-09
12,12,12,12,12,12,12,12,12,12,15,2015-07-01,2015-08-26,2015-08-26,2015-08-26
13,13,13,13,13,13,13,13,13,13,16,2015-07-02,2015-08-21,2015-08-21,2015-08-21
14,14,14,14,14,14,14,14,14,14,17,2015-07-03,2015-09-08,2015-09-08,2015-09-08
15,15,15,15,15,15,15,15,15,15,19,2015-07-05,,,
16,16,16,16,16,16,16,16,16,16,20,2015-07-06,,,
17,17,17,17,17,17,17,17,17,17,21,2015-07-07,2015-08-16,2015-08-16,2015-08-16
18,18,18,18,18,18,18,18,18,18,23,2015-07-09,2015-08-31,2015-09-20,2015-10-11
19,19,19,19,19,19,19,19,19,19,24,2015-07-10,2015-08-15,2015-08-30,2015-08-30
20,20,20,20,20,20,20,20,20,20,28,2015-07-14,2015-08-20,2015-09-09,2015-09-09
21,21,21,21,21,21,21,21,21,21,29,2015-07-15,2015-07-31,2015-09-01,2015-09-01
22,22,22,22,22,22,22,22,22,22,31,2015-07-17,,,
23,23,23,23,23,23,23,23,23,23,32,2015-07-18,,,
24,24,24,24,24,24,24,24,24,24,36,2015-07-22,,,
25,25,25,25,25,25,25,25,25,25,37,2015-07-23,2015-09-23,2015-10-09,2015-10-09
26,26,26,26,26,26,26,26,26,26,38,2015-07-24,,,
27,27,27,27,27,27,27,27,27,27,40,2015-07-26,2015-08-23,2015-09-16,2015-09-16
28,28,28,28,28,28,28,28,28,28,41,2015-07-27,2015-09-13,2015-09-13,2015-09-13
29,29,29,29,29,29,29,29,29,29,42,2015-07-28,,,
30,30,30,30,30,30,30,30,30,30,43,2015-07-29,2015-09-13,2015-09-29,2015-10-19
31,31,31,31,31,31,31,31,31,31,44,2015-07-30,,,
32,32,32,32,32,32,32,32,32,32,45,2015-07-31,,,
33,33,33,33,33,33,33,33,33,33,49,2015-08-04,2015-09-01,2015-09-29,2015-10-10
34,34,34,34,34,34,34,34,34,34,50,2015-08-05,2015-09-19,2015-10-12,2015-10-12
35,35,35,35,35,35,35,35,35,35,51,2015-08-06,2015-09-15,2015-10-02,2015-10-09
36,36,36,36,36,36,36,36,36,36,53,2015-08-08,2015-08-31,2015-10-14,2015-10-14
37,37,37,37,37,37,37,37,37,37,54,2015-08-09,,,
38,38,38,38,38,38,38,38,38,38,57,2015-08-12,2015-09-26,2015-09-26,2015-09-26
39,39,39,39,39,39,39,39,39,39,59,2015-08-14,,,
40,40,40,40,40,40,40,40,40,40,60,2015-08-15,,,
41,41,41,41,41,41,41,41,41,41,61,2015-08-16,,,
42,42,42,42,42,42,42,42,42,42,62,2015-08-17,,,
43,43,43,43,43,43,43,43,43,43,63,2015-08-18,,,
44,44,44,44,44,44,44,44,44,44,64,2015-08-19,2015-09-20,2015-10-26,2015-11-03
45,45,45,45,45,45,45,45,45,45,65,2015-08-20,,,
46,46,46,46,46,46,46,46,46,46,67,2015-08-22,2015-10-13,2015-10-13,2015-10-13
47,47,47,47,47,47,47,47,47,47,69,2015-08-24,2015-10-26,2015-10-26,2015-10-26
48,48,48,48,48,48,48,48,48,48,74,2015-08-29,2015-10-14,2015-10-14,2015-10-14
49,49,49,49,49,49,49,49,49,49,75,2015-08-30,2015-11-01,2015-11-01,2015-11-01
50,50,50,50,50,50,50,50,50,50,76,2015-08-31,,,
