,lead,phase2,phase3,closed
0,2015-06-19,2015-07-30,2015-08-11,2015-08-11
1,2015-06-20,2015-07-20,2015-07-20,2015-07-20
2,2015-06-21,,,
3,2015-06-22,2015-06-30,2015-07-13,2015-07-13
4,2015-06-23,,,
5,2015-06-24,2015-08-11,2015-08-25,2015-08-25
6,2015-06-25,2015-08-03,2015-08-08,2015-08-31
7,2015-06-26,2015-07-30,2015-07-30,2015-07-30
8,2015-06-27,2015-08-27,2015-08-27,2015-08-27
9,2015-06-28,2015-08-16,2015-08-16,2015-08-16
10,2015-06-29,2015-08-02,2015-08-03,2015-08-17
11,2015-06-30,2015-08-09,2015-08-09,2015-08-09
12,2015-07-01,2015-08-26,2015-08-26,2015-08-26
13,2015-07-02,2015-08-21,2015-08-21,2015-08-21
14,2015-07-03,2015-09-08,2015-09-08,2015-09-08
15,2015-07-05,,,
16,2015-07-06,,,
17,2015-07-07,2015-08-16,2015-08-16,2015-08-16
18,2015-07-09,2015-08-31,2015-09-20,2015-10-11
19,2015-07-10,2015-08-15,2015-08-30,2015-08-30
20,2015-07-14,2015-08-20,2015-09-09,2015-09-09
21,2015-07-15,2015-07-31,2015-09-01,2015-09-01
22,2015-07-17,,,
23,2015-07-18,,,
24,2015-07-22,,,
25,2015-07-23,2015-09-23,2015-10-09,2015-10-09
26,2015-07-24,,,
27,2015-07-26,2015-08-23,2015-09-16,2015-09-16
28,2015-07-27,2015-09-13,2015-09-13,2015-09-13
29,2015-07-28,,,
30,2015-07-29,2015-09-13,2015-09-29,2015-10-19
31,2015-07-30,,,
32,2015-07-31,,,
33,2015-08-04,2015-09-01,2015-09-29,2015-10-10
34,2015-08-05,2015-09-19,2015-10-12,2015-10-12
35,2015-08-06,2015-09-15,2015-10-02,2015-10-09
36,2015-08-08,2015-08-31,2015-10-14,2015-10-14
37,2015-08-09,,,
38,2015-08-12,2015-09-26,2015-09-26,2015-09-26
39,2015-08-14,,,
40,2015-08-15,,,
41,2015-08-16,,,
42,2015-08-17,,,
43,2015-08-18,,,
44,2015-08-19,2015-09-20,2015-10-26,2015-11-03
45,2015-08-20,,,
46,2015-08-22,2015-10-13,2015-10-13,2015-10-13
47,2015-08-24,2015-10-26,2015-10-26,2015-10-26
48,2015-08-29,2015-10-14,2015-10-14,2015-10-14
49,2015-08-30,2015-11-01,2015-11-01,2015-11-01
50,2015-08-31,,,
51,2015-09-01,2015-10-16,2015-11-23,2015-12-11
52,2015-09-03,2015-10-08,2015-10-08,2015-10-08
53,2015-09-04,2015-11-11,2015-11-11,2015-11-11
54,2015-09-07,,,
55,2015-09-08,2015-09-29,2015-10-23,2015-11-04
56,2015-09-09,,,
57,2015-09-10,,,
58,2015-09-11,2015-10-03,2015-11-01,2015-11-01
59,2015-09-12,2015-11-15,2015-11-22,2015-12-10
60,2015-09-13,2015-10-29,2015-11-22,2015-11-22
61,2015-09-14,2015-10-18,2015-11-01,2015-11-01
62,2015-09-15,2015-10-25,2015-10-25,2015-10-25
63,2015-09-16,2015-10-05,2015-11-08,2015-11-08
64,2015-09-17,2015-10-29,2015-10-30,2015-11-08
65,2015-09-18,2015-10-11,2015-10-11,2015-10-11
66,2015-09-19,2015-10-18,2015-11-10,2015-11-10
67,2015-09-22,,,
68,2015-09-24,2015-11-01,2015-11-01,2015-11-01
69,2015-09-25,2015-10-06,2015-10-13,2015-10-13
70,2015-09-26,2015-11-02,2015-12-16,2015-12-17
71,2015-09-27,2015-11-15,2015-12-09,2015-12-09
72,2015-09-28,,,
73,2015-09-29,,,
74,2015-09-30,,,
75,2015-10-01,,,
76,2015-10-03,2015-10-30,2015-11-21,2015-11-21
77,2015-10-04,2015-10-06,2015-11-02,2015-11-20
78,2015-10-06,2015-11-15,2015-12-20,2016-01-05
79,2015-10-07,,,
80,2015-10-08,2015-10-21,2015-11-15,2015-11-28
81,2015-10-09,,,
82,2015-10-10,2015-11-22,2015-12-01,2015-12-01
83,2015-10-12,2015-11-01,2015-11-15,2015-11-15
84,2015-10-13,2015-11-04,2015-11-15,2015-11-15
85,2015-10-15,,,
86,2015-10-16,,,
87,2015-10-17,2015-12-03,2015-12-16,2015-12-16
88,2015-10-18,,,
89,2015-10-19,,,
90,2015-10-20,2015-11-15,2015-11-21,2015-11-30
91,2015-10-23,2015-11-21,2015-11-22,2015-11-22
92,2015-10-24,2015-11-30,2015-12-31,2015-12-31
93,2015-10-25,2015-12-19,2016-01-04,2016-01-04
94,2015-10-26,,,
95,2015-10-27,2015-12-06,2015-12-21,2016-01-04
96,2015-10-29,2015-12-09,2016-01-11,2016-01-11
97,2015-10-30,,,
98,2015-10-31,2015-11-12,2015-11-30,2015-12-11
99,2015-11-01,2016-01-12,2016-02-08,2016-02-08
100,2015-11-02,,,
101,2015-11-03,,,
102,2015-11-04,2015-12-18,2016-01-09,2016-01-26
103,2015-11-05,2015-12-04,2015-12-04,2015-12-04
104,2015-11-06,2015-12-20,2015-12-26,2016-01-02
105,2015-11-08,,,
106,2015-11-10,2015-12-06,2015-12-22,2016-01-05
107,2015-11-11,2015-12-01,2015-12-01,2015-12-01
108,2015-11-12,2015-11-21,2015-11-21,2015-11-21
109,2015-11-13,2015-12-10,2015-12-28,2015-12-28
110,2015-11-14,2015-12-01,2015-12-23,2015-12-23
111,2015-11-15,2015-12-15,2015-12-15,2015-12-15
112,2015-11-16,2015-12-11,2015-12-11,2015-12-11
113,2015-11-17,2015-12-04,2015-12-23,2015-12-23
114,2015-11-18,,,
115,2015-11-21,2016-01-11,2016-02-15,2016-02-21
116,2015-11-22,,,
117,2015-11-23,,,
118,2015-11-24,2016-01-17,2016-02-15,2016-02-15
